3203304,"MANTENOPOLIS"
5205059,"CASTELANDIA"
1702554,"AUGUSTINOPOLIS"
4119707,"PLANALTINA DO PARANA"
3205002,"SERRA"
4213302,"PONTE ALTA"
2301505,"ARNEIROZ"
5204250,"CACHOEIRA DOURADA"
2905008,"CACULE"
4320800,"SOLEDADE"
3107505,"BOM JARDIM DE MINAS"
5002902,"CASSILANDIA"
3146602,"PAIVA"
5106752,"PONTES E LACERDA"
3103751,"ARAPORA"
2302305,"BELA CRUZ"
5106232,"NOVA OLIMPIA"
3509908,"CANANEIA"
3144375,"NATALANDIA"
4216107,"SAO DOMINGOS"
3304904,"SAO GONCALO"
4307500,"ESPUMOSO"
4204806,"CURITIBANOS"
5215231,"NOVO GAMA"
4125753,"SAO PEDRO DO IGUACU"
3159308,"SANTA RITA DE JACUTINGA"
5008305,"TRES LAGOAS"
3122009,"DIVINO"
5205497,"CIDADE OCIDENTAL"
5200134,"ACREUNA"
4103370,"BRASILANDIA DO SUL"
3140001,"MARIANA"
1100924,"CHUPINGUAIA"
4101655,"ARAPUA"
3204104,"PINHEIROS"
4108551,"GODOY MOREIRA"
5209291,"GUARAITA"
4117271,"NOVA TEBAS"
4209300,"LAGES"
5203203,"BARRO ALTO"
3139102,"MADRE DE DEUS DE MINAS"
4304606,"CANOAS"
5106000,"NORTELANDIA"
1100304,"VILHENA"
4201950,"BALNEARIO ARROIO DO SILVA"
3160959,"SAO DOMINGOS DAS DORES"
4118303,"PARANAPOEMA"
4102802,"BELA VISTA DO PARAISO"
4123824,"SANTA LUCIA"
4106803,"CRUZ MACHADO"
4111308,"ITAUNA DO SUL"
5220009,"SAO JOAO D'ALIANCA"
5005400,"MARACAJU"
4316006,"ROLANTE"
3551207,"SARUTAIA"
2312403,"SAO GONCALO DO AMARANTE"
2612505,"SANTA CRUZ DO CAPIBARIBE"
5221452,"TROMBAS"
3545506,"SANDOVALINA"
1702000,"ARAGUACU"
4204004,"CATANDUVAS"
5208806,"GOIANIRA"
1717503,"PIUM"
5200159,"ADELANDIA"
1700400,"ALMAS"
4100806,"ALVORADA DO SUL"
1701002,"ANANAS"
4301073,"ARROIO DO PADRE"
1702703,"AURORA DO TOCANTINS"
4303202,"CACIQUE DOBLE"
3118106,"CONGONHAS DO NORTE"
3514007,"DOBRADA"
3122470,"DOM BOSCO"
5207501,"ESTRELA DO NORTE"
5003900,"FIGUEIRAO"
3127909,"GRUPIARA"
2104909,"GUIMARAES"
3133907,"ITAVERAVA"
4311130,"JARI"
3135704,"JEQUITIBA"
3136405,"JOAQUIM FELICIO"
4209151,"JOSE BOITEUX"
4311429,"LAJEADO DO BUGRE"
3143450,"MONTEZUMA"
4312617,"MUITOS CAPOES"
4312757,"NOVA ALVORADA"
4212239,"PARAISO"
3148756,"PEDRA BONITA"
4212403,"PEDRAS GRANDES"
5106703,"PONTE BRANCA"
4315156,"PROGRESSO"
4315206,"PUTINGA"
4315354,"QUINZE DE NOVEMBRO"
1718501,"RECURSOLANDIA"
5107198,"RIBEIRAOZINHO"
1718709,"RIO DOS BOIS"
3544202,"RIOLANDIA"
3544905,"SALES OLIVEIRA"
3157377,"SANTA CRUZ DE SALINAS"
3548005,"SANTO ANTONIO DE POSSE"
1720309,"SAO SEBASTIAO DO TOCANTINS"
3165701,"SENADOR FIRMINO"
3166204,"SENHORA DOS REMEDIOS"
1101609,"THEOBROMA"
5221502,"TURVANIA"
4219408,"WITMARSUM"
2206704,"NAZARE DO PIAUI"
4113759,"LUNARDELLI"
3167400,"SILVIANOPOLIS"
4205555,"FREI ROGERIO"
4103958,"CAMPINA DO SIMAO"
2917409,"JACARACI"
3204708,"SAO GABRIEL DA PALHA"
3123700,"ENGENHEIRO CALDAS"
4114104,"MANDAGUACU"
3553302,"TAMBAU"
3169109,"TOLEDO"
3529401,"MAUA"
1100320,"SAO MIGUEL DO GUAPORE"
5219258,"SANTA FE DE GOIAS"
4100459,"ALTAMIRA DO PARANA"
4115903,"MIRADOR"
3200805,"BAIXO GUANDU"
5001003,"APARECIDA DO TABOADO"
4115457,"MARQUINHO"
4203006,"CACADOR"
4322202,"TUPANCIRETA"
4100400,"ALMIRANTE TAMANDARE"
5204557,"CALDAZINHA"
3201100,"BOM JESUS DO NORTE"
3203700,"MUNIZ FREIRE"
4107850,"FLOR DA SERRA DO SUL"
5219605,"SANTA TEREZA DE GOIAS"
5203401,"BOM JARDIM DE GOIAS"
1721208,"TOCANTINOPOLIS"
4203956,"CAPIVARI DE BAIXO"
2104081,"FERNANDO FALCAO"
4109708,"IBAITI"
4317400,"SANTIAGO"
5104203,"GUIRATINGA"
3540754,"POTIM"
3130507,"ILICINEA"
4310009,"IBIRUBA"
4306767,"ELDORADO DO SUL"
2603900,"CARNAIBA"
4212502,"PENHA"
5221577,"UIRAPURU"
5108501,"VERA"
3201308,"CARIACICA"
4125902,"SAO PEDRO DO PARANA"
2304285,"EUSEBIO"
3168051,"TAPARUBA"
3304805,"SAO FIDELIS"
2304459,"FORTIM"
3172103,"VOLTA GRANDE"
5220157,"SAO LUIZ DO NORTE"
3306107,"VALENCA"
5105150,"JUINA"
4114807,"MARIALVA"
3519253,"IARAS"
4125001,"SAO JOAO DO IVAI"
4202107,"BARRA VELHA"
3113909,"CARMO DA CACHOEIRA"
4214003,"PRESIDENTE GETULIO"
3523107,"ITAQUAQUECETUBA"
4108908,"GUAIRACA"
3548054,"SANTO ANTONIO DO ARACANGUA"
2908705,"CONDEUBA"
2104008,"ESPERANTINOPOLIS"
5219902,"SAO FRANCISCO DE GOIAS"
4113734,"LUIZIANA"
5101258,"ARAPUTANGA"
4205803,"GARUVA"
3521150,"IPIGUA"
1721000,"PALMAS"
4116307,"MUNHOZ DE MELO"
3204906,"SAO MATEUS"
5108402,"VARZEA GRANDE"
4201307,"ARAQUARI"
1100056,"CEREJEIRAS"
4126207,"SAPOPEMA"
3140902,"MATIPO"
3157203,"SANTA BARBARA"
4118105,"PARANACITY"
1705508,"COLINAS DO TOCANTINS"
2509701,"MONTEIRO"
4209409,"LAGUNA"
4202537,"BOM JESUS"
4208955,"JARDINOPOLIS"
3509957,"CANAS"
3110707,"CAMBUQUIRA"
3132602,"ITAMARATI DE MINAS"
3302700,"MARICA"
4108007,"FLORESTOPOLIS"
5100409,"ALTO GARCAS"
4101853,"ARIRANHA DO IVAI"
1100148,"NOVA BRASILANDIA D'OESTE"
4114708,"MARIA HELENA"
3511102,"CATANDUVA"
